model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter,41354195,1440030213,trim,8,1127.051,4157028,6,4157028,28970132,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:53:40
twitter_mpi,52579683,1963263821,trim,8,1792.147,9213375,7,9213375,39614386,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:55:20
wiki-link-en,12150977,378142420,trim,8,234.415,37099,4,37099,6224093,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:55:33
com-friendster,124836180,1806067135,ac4trim,8,60349.916,124836180,-1,124836180,1703269457,0,0,0,0,0,4096,681,100,100,2021-06-03.02:58:25
twitter,41354195,1440030213,ac4trim,8,540.392,4157028,-1,4157028,11826973,0,0,0,0,0,4096,293,100,100,2021-06-03.02:59:39
twitter_mpi,52579683,1963263821,ac4trim,8,413.228,9213375,-1,9213375,8524971,0,0,0,0,0,4096,15219,100,100,2021-06-03.03:01:19
wiki-link-en,12150977,378142420,ac4trim,8,19.24,37099,-1,37099,47569,0,0,0,0,0,4096,33,100,100,2021-06-03.03:01:32
com-friendster,124836180,1806067135,fasttrim,10,59944.896,124836180,-1,124836180,1810338320,0,0,0,0,0,4096,609,100,100,2021-06-03.03:04:23
twitter,41354195,1440030213,fasttrim,10,1322.756,4157028,-1,4157028,5259662,0,0,0,0,0,4096,287,100,100,2021-06-03.03:05:37
twitter_mpi,52579683,1963263821,fasttrim,10,1735.079,9213375,-1,9213375,5622212,0,0,0,0,0,4096,327,100,100,2021-06-03.03:07:16
wiki-link-en,12150977,378142420,fasttrim,10,327.218,37099,-1,37099,1282168,0,0,0,0,0,4096,6,100,100,2021-06-03.03:07:30
com-friendster,124836180,1806067135,trim,10,1288965.689,124836180,12072,124836180,18067671329,0,0,0,0,0,4096,-1,100,100,2021-06-03.03:30:49
twitter,41354195,1440030213,trim,10,979.521,4157028,6,4157028,30566550,0,0,0,0,0,4096,-1,100,100,2021-06-03.03:32:01
twitter_mpi,52579683,1963263821,trim,10,1162.204,9213375,7,9213375,44325236,0,0,0,0,0,4096,-1,100,100,2021-06-03.03:33:39
wiki-link-en,12150977,378142420,trim,10,264.201,37099,4,37099,5117274,0,0,0,0,0,4096,-1,100,100,2021-06-03.03:33:52
com-friendster,124836180,1806067135,ac4trim,10,58826.323,124836180,-1,124836180,1699436981,0,0,0,0,0,4096,681,100,100,2021-06-03.03:36:42
