model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
wiki_talk_en,2987536,24981163,ufscc,6,233.238,-1,-1,-1,2736716,2735641,992,58,2019-11-05.12:38:28
youtube-links,1138500,4942297,ufscc,6,113.484,-1,-1,-1,613423,602053,8696,1709,2019-11-05.12:38:28
baidu,2141301,17794839,fasttrim,8,26.458,598975,-1,598975,0,0,0,0,2019-11-05.12:38:29
-bakery.6,11845035,40400559,fasttrim,8,99.574,2636196,-1,2636196,0,0,0,0,2019-11-05.12:38:31
-cambridge.6,3354295,9483191,fasttrim,8,27.116,8412,-1,8412,0,0,0,0,2019-11-05.12:38:31
dbpedia,3966925,13820853,fasttrim,8,44.622,1437127,-1,1437127,0,0,0,0,2019-11-05.12:38:32
dbpedia-link,18268993,172183984,fasttrim,8,212.877,8143619,-1,8143619,0,0,0,0,2019-11-05.12:38:38
-leader-filters.7,26302351,91692858,fasttrim,8,272.865,26302351,-1,26302351,0,0,0,0,2019-11-05.12:38:41
livej,4847571,68993773,fasttrim,8,75.941,592952,-1,592952,0,0,0,0,2019-11-05.12:38:43
patent,3774768,16518948,fasttrim,8,222.273,3774768,-1,3774768,0,0,0,0,2019-11-05.12:38:44
pokec,1632804,30622564,fasttrim,8,19.165,212042,-1,212042,0,0,0,0,2019-11-05.12:38:45
random,10000001,100000000,fasttrim,8,212.748,455,-1,455,0,0,0,0,2019-11-05.12:38:49
rmat,9999994,100000000,fasttrim,8,188.119,2203713,-1,2203713,0,0,0,0,2019-11-05.12:38:53
ssca2,1048577,157877986,fasttrim,8,22.308,11,-1,11,0,0,0,0,2019-11-05.12:38:58
wiki_link_en,12150977,378142420,fasttrim,8,173.671,37102,-1,37102,0,0,0,0,2019-11-05.12:39:08
wiki-links,5710993,130160392,fasttrim,8,80.942,7415,-1,7415,0,0,0,0,2019-11-05.12:39:12
wiki_talk_en,2987536,24981163,fasttrim,8,8.361,2611598,-1,2611598,0,0,0,0,2019-11-05.12:39:15
youtube-links,1138500,4942297,fasttrim,8,9.191,600414,-1,600414,0,0,0,0,2019-11-05.12:39:15
baidu,2141301,17794839,trim,8,39.658,598975,9,598975,598975,598975,0,0,2019-11-05.12:39:15
-bakery.6,11845035,40400559,trim,8,837.027,2636196,47,2636196,2636196,2636196,0,0,2019-11-05.12:39:18
-cambridge.6,3354295,9483191,trim,8,282.622,8412,65,8412,8412,8412,0,0,2019-11-05.12:39:19
dbpedia,3966925,13820853,trim,8,605.336,1437127,111,1437127,1437127,1437127,0,0,2019-11-05.12:39:20
dbpedia-link,18268993,172183984,trim,8,206.188,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.12:39:26
-leader-filters.7,26302351,91692858,trim,8,1347.874,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.12:39:30
livej,4847571,68993773,trim,8,132.235,592952,8,592952,592952,592952,0,0,2019-11-05.12:39:33
patent,3774768,16518948,trim,8,114.211,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.12:39:33
pokec,1632804,30622564,trim,8,30.128,212042,5,212042,212042,212042,0,0,2019-11-05.12:39:34
random,10000001,100000000,trim,8,74.24,455,2,455,455,455,0,0,2019-11-05.12:39:38
rmat,9999994,100000000,trim,8,201.087,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.12:39:42
ssca2,1048577,157877986,trim,8,8.52,11,2,11,11,11,0,0,2019-11-05.12:39:47
wiki_link_en,12150977,378142420,trim,8,176.789,37102,4,37102,37102,37102,0,0,2019-11-05.12:39:57
wiki-links,5710993,130160392,trim,8,90.246,7415,4,7415,7415,7415,0,0,2019-11-05.12:40:02
wiki_talk_en,2987536,24981163,trim,8,17.86,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.12:40:04
youtube-links,1138500,4942297,trim,8,9.263,600414,6,600414,600414,600414,0,0,2019-11-05.12:40:04
baidu,2141301,17794839,ufscc,8,176.629,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.12:40:05
