model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
pokec,1632804,30622564,ufscc,4,875.628000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.13:08:41
random,10000001,100000000,ufscc,4,5122.852000,-1,-1,-1,877,-1,876,0,0,2019-11-08.13:08:50
rmat,9999994,100000000,ufscc,4,4954.797000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.13:08:59
ssca2,1048577,157877986,ufscc,4,844.996000,-1,-1,-1,31,-1,29,1,0,2019-11-08.13:09:05
wiki_link_en,12150977,378142420,ufscc,4,4929.226000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.13:09:21
wiki-links,5710993,130160392,ufscc,4,2356.003000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.13:09:27
wiki_talk_en,2987536,24981163,ufscc,4,294.344000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.13:09:30
youtube-links,1138500,4942297,ufscc,4,129.228000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.13:09:31
baidu,2141301,17794839,fasttrim,6,31.388000,598975,-1,598975,0,598975,0,0,0,2019-11-08.13:09:31
-bakery.6,11845035,40400559,fasttrim,6,120.122000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.13:09:33
-cambridge.6,3354295,9483191,fasttrim,6,32.099000,8412,-1,8412,0,8412,0,0,0,2019-11-08.13:09:34
dbpedia,3966925,13820853,fasttrim,6,50.129000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.13:09:34
dbpedia-link,18268993,172183984,fasttrim,6,261.322000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.13:09:40
-leader-filters.7,26302351,91692858,fasttrim,6,281.634000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.13:09:44
livej,4847571,68993773,fasttrim,6,91.148000,592952,-1,592952,0,592952,0,0,0,2019-11-08.13:09:46
patent,3774768,16518948,fasttrim,6,281.364000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.13:09:47
pokec,1632804,30622564,fasttrim,6,23.160000,212042,-1,212042,0,212042,0,0,0,2019-11-08.13:09:48
random,10000001,100000000,fasttrim,6,253.858000,455,-1,455,0,455,0,0,0,2019-11-08.13:09:52
rmat,9999994,100000000,fasttrim,6,230.477000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.13:09:56
ssca2,1048577,157877986,fasttrim,6,28.905000,11,-1,11,0,11,0,0,0,2019-11-08.13:10:01
wiki_link_en,12150977,378142420,fasttrim,6,226.821000,37102,-1,37102,0,37102,0,0,0,2019-11-08.13:10:11
wiki-links,5710993,130160392,fasttrim,6,98.065000,7415,-1,7415,0,7415,0,0,0,2019-11-08.13:10:15
wiki_talk_en,2987536,24981163,fasttrim,6,10.291000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.13:10:18
youtube-links,1138500,4942297,fasttrim,6,10.569000,600414,-1,600414,0,600414,0,0,0,2019-11-08.13:10:18
baidu,2141301,17794839,trim,6,45.410000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.13:10:19
-bakery.6,11845035,40400559,trim,6,956.437000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.13:10:22
-cambridge.6,3354295,9483191,trim,6,309.541000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.13:10:22
dbpedia,3966925,13820853,trim,6,730.428000,1437127,113,1437127,1437127,1437127,1437127,0,0,2019-11-08.13:10:24
dbpedia-link,18268993,172183984,trim,6,239.950000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.13:10:30
-leader-filters.7,26302351,91692858,trim,6,1503.803000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.13:10:35
livej,4847571,68993773,trim,6,142.580000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.13:10:37
patent,3774768,16518948,trim,6,136.249000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.13:10:38
pokec,1632804,30622564,trim,6,31.550000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.13:10:39
random,10000001,100000000,trim,6,82.966000,455,2,455,455,455,455,0,0,2019-11-08.13:10:43
rmat,9999994,100000000,trim,6,230.589000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.13:10:47
ssca2,1048577,157877986,trim,6,18.545000,11,2,11,11,11,11,0,0,2019-11-08.13:10:51
wiki_link_en,12150977,378142420,trim,6,207.298000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.13:11:02
wiki-links,5710993,130160392,trim,6,95.802000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.13:11:06
wiki_talk_en,2987536,24981163,trim,6,20.530000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.13:11:09
youtube-links,1138500,4942297,trim,6,10.565000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.13:11:09
baidu,2141301,17794839,ufscc,6,223.412000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.13:11:10
-bakery.6,11845035,40400559,ufscc,6,723.841000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.13:11:12
-cambridge.6,3354295,9483191,ufscc,6,123.075000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.13:11:13
dbpedia,3966925,13820853,ufscc,6,119.734000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.13:11:14
dbpedia-link,18268993,172183984,ufscc,6,2222.436000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.13:11:22
-leader-filters.7,26302351,91692858,ufscc,6,544.872000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.13:11:25
livej,4847571,68993773,ufscc,6,1204.550000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.13:11:29
patent,3774768,16518948,ufscc,6,251.136000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.13:11:30
pokec,1632804,30622564,ufscc,6,574.892000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.13:11:31
random,10000001,100000000,ufscc,6,3875.284000,-1,-1,-1,877,-1,876,0,0,2019-11-08.13:11:39
rmat,9999994,100000000,ufscc,6,3314.426000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.13:11:46
ssca2,1048577,157877986,ufscc,6,567.485000,-1,-1,-1,31,-1,29,1,0,2019-11-08.13:11:51
wiki_link_en,12150977,378142420,ufscc,6,3499.650000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.13:12:05
wiki-links,5710993,130160392,ufscc,6,1704.962000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.13:12:11
wiki_talk_en,2987536,24981163,ufscc,6,222.968000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.13:12:14
youtube-links,1138500,4942297,ufscc,6,103.627000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.13:12:14
baidu,2141301,17794839,fasttrim,8,26.773000,598975,-1,598975,0,598975,0,0,0,2019-11-08.13:12:15
-bakery.6,11845035,40400559,fasttrim,8,99.767000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.13:12:17
-cambridge.6,3354295,9483191,fasttrim,8,26.906000,8412,-1,8412,0,8412,0,0,0,2019-11-08.13:12:17
dbpedia,3966925,13820853,fasttrim,8,44.794000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.13:12:18
dbpedia-link,18268993,172183984,fasttrim,8,209.286000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.13:12:23
-leader-filters.7,26302351,91692858,fasttrim,8,274.238000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.13:12:27
livej,4847571,68993773,fasttrim,8,75.647000,592952,-1,592952,0,592952,0,0,0,2019-11-08.13:12:29
patent,3774768,16518948,fasttrim,8,227.192000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.13:12:30
pokec,1632804,30622564,fasttrim,8,19.202000,212042,-1,212042,0,212042,0,0,0,2019-11-08.13:12:31
random,10000001,100000000,fasttrim,8,209.080000,455,-1,455,0,455,0,0,0,2019-11-08.13:12:36
rmat,9999994,100000000,fasttrim,8,187.437000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.13:12:40
ssca2,1048577,157877986,fasttrim,8,22.229000,11,-1,11,0,11,0,0,0,2019-11-08.13:12:44
wiki_link_en,12150977,378142420,fasttrim,8,180.125000,37102,-1,37102,0,37102,0,0,0,2019-11-08.13:12:55
wiki-links,5710993,130160392,fasttrim,8,81.664000,7415,-1,7415,0,7415,0,0,0,2019-11-08.13:12:59
